Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569575,4.857187232,4.263920838,4.195206301,4.223623511,2.216705778,-8.737884434,6.111372752,3.605680383,3.081965241
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,2.908480487
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,6.070545637,2.079183889,0.633461059,-5.017275959,-2.217710437,-0.731434559,-0.313311151,-1.010381846,0.082405478,-0.846098521,1.791930334,0.128446002,-1.174065094,0.652585418,-15.05436295,-0.25496588,17.83286303,4.09382011
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.47467625,1.466060511,3.961439117,3.583428926,0.10453844,-0.003925189,4.09841261,-3.763623476,-3.900710821,-1.900253862,2.741364335,3.744406387,0.913135324,-2.124783186,-2.507887216,-0.392383488,-2.477917765,1.328726513,0.052371054,3.868844164,1.133573406,-1.590762481,-1.62833154,1.407068323
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.355068386,7.328374452,10.44377954,7.786560536,5.157257256,6.935071466,5.640805265,16.10478365,4.529448692,7.667492403,11.9318739,8.489258462,5.164820108,1.736340397,5.881085491,6.66080134,8.475943355,2.086845258,3.501871837,5.755148506,-10.21839741,4.421367402,5.213867811,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.987695834,0.25057395,6.069530876,4.62589475,2.705821706,4.556645653,8.363871093,5.792555777,3.252072958,-14.14423462,10.12220912,6.838529748,-0.170900761,11.10282378,5.694777382,-4.85133564,7.204424759,4.114363663,4.188093554,3.032202574,-8.728752526,11.92063651,5.486028178,2.73379817
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3.1,0.899999997,0.982919996,0.502110003,0.870251451
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.138539186,1.875098132,2.99925535,1.806385135,3.092363835,3.210454357,2.6379438,2.049904611,0.99540631,-2.915086239,3.090806374,3.13719439,1.755661325,2.325813574,2.873466772,0.649970994,1.038550935,3.033834903,2.742963431,1.908431925,-5.038233441,5.286956891,3.819866339,1.248927304
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.953835505,3.006651603,3.543634442,4.012611993,5.87886441,4.909186278,6.64238726,6.332298445,3.96321999,-3.607880954,1.539308059,3.595921526,0.845589815,0.646684568,3.252140177,4.006392316,2.784150368,5.121376975,5.040763788,4.005992822,-3.329068508,6.53215013,4.067238251,0.639830853
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.958719719,1.575661967,-0.073217084,-0.032398477,2.70170921,2.749698985,4.07362845,3.916375818,2.807983632,-2.297374631,3.243397336,1.813108192,1.179253833,1.792144057,2.349881275,1.644627687,2.068689667,1.362799557,2.860445795,1.141982325,-2.141737207,5.391888041,2.568328178,0.716066869
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,-3.60663207,1.125042625,-5.753661743,0.493931288,2.427101949,0.374367231,1.213024612,1.806480201,1.122244681,1.573355158,-8.896779523,9.936801364,5.341961831,3.715005661
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.971621489,3.154034924,3.20279914,4.723245267,6.674254167,5.837045715,6.049990829,5.168230987,3.789392802,-1.118037233,5.851651017,6.223896787,6.155340021,3.308508245,1.792649474,2.151942499,1.753038746,1.357695378,3.990029475,0.634367534,-6.143474792,11.33395707,2.058740081,0.218780667
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356,8.448469417,2.95066993,5.249557864
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.265789462,-2.154012491,-2.730526474,-4.725866586,3.185038226,0.996065565,2.815578593,1.101429768,4.782665979,3.603321567,6.848049399,-5.37044724,7.620411765,10.76021313,9.371999942,7.194949427,7.17275964,7.410762426,4.843146059,6.721371676,0.699728593,7.063329102,6.217850913,6.2
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.832417794,4.324261192,4.477026834,5.453153689,7.048862819,2.228270209,3.809583276,4.32758901,2.847677889,2.579251777,2.899024721,3.379211285,4.625978722,4.995529161,5.719818145,5.666952987,4.535794237,3.541176549,3.955514239,3.475059982,0.259932916,3.338857472,3.736784006,3.248344978
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320979565,6.259477764,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288099,6.916167119,2.399398911,3.726947659,5.8211211,4.384528874,1.735422767,6.200154011,8.924447626,8.560862509
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.575980395,3.802601899,4.581870061,0.813264076,3.476631621,7.755758978,7.986238363,-6.613994804,6.306375956,11.63728886,9.931265431,2.205919363,9.947153143,-0.712434452,6.646065409,0.415193061,-8.685243439,-5.594773719,-2.304317801,1.12447392,-6.26777228,1.01507037,1.475356132,1.906864263
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.924861482,1.677898308,2.503980467,3.918271903,5.333022068,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.185914138,10.80119819,7.288883887,0.610409566
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.84787862,2.332907102,2.324944861,2.103871636,1.919659807,2.83754787,2.646955476,0.800042349,3.964611189,3.240740728,3.77776675,4.143506695,3.168409869,4.466247315,2.106657589,1.147350761,3.320446562,3.815762877,3.642451138,1.760780239,-0.195556827,2.000161989,2.603010319,2.995674572
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.28486885,2.231654545,5.25089117,4.176259326,10.19707263,6.912457957,7.983750448,15.17068797,7.039011296,-1.503586724,1.83641915,3.924718213,1.083648484,0.632136727,0.69666684,0.936026508,4.280714827,4.55131481,3.706964583,6.947826341,-20.8052759,7.033530107,15.84367568,5.475435916
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.86871809,3.491169894,3.41687639,4.317179866,4.424599597,3.976666368,7.326695433,8.215131983,4.738174878,-0.873455943,5.360343526,4.40315924,4.88259241,2.494766112,3.542109878,3.652080968,4.204323252,4.157698963,2.615904404,2.417511818,-4.273354322,7.935762247,4.55149178,5.111921832
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.678345764,1.213787321,2.124034181,1.857770671,2.791953155,3.295455696,4.492297407,3.275705232,0.538845575,-2.65106883,0.911618409,1.67378932,2.263326268,0.094997916,1.75556127,0.21376548,0.394020894,1.863155974,2.778988927,1.055087902,-9.602316206,10.44295582,23.0676038,12.55763465
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.914760174,3.185029904,1.424821261,3.792740223,5.77053807,11.20165642,12.06586311,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438333589,0.512843096,1.809791772,2.247948541,-0.163087224,-10.9490846,1.253693425,1.774853995,-1.928992112
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-0.695753704,0.397065217,0.288186682,0.208461073,0.676425345,1.63593469,2.469963228,2.18804308,-0.531308242,0.082306609,0.508457482,-0.348950824,-0.635696908,-0.637397373,0.458151544,-1.067708487,-1.276208101,-2.104111331,-3.206132196,-18.43847035,4.183711931,6.906,4.202
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,3.162625227,-0.357401201,-7.200482447,-2.715635262,1.169062198,1.229753657,1.27933102,2.654527985,2.833122226,3.239974339,3.184045923,4.267267452,3.915635342,-4.954806408,4.904929413,5.156329542,4.359675957
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.965310315,3.952560541,3.722956499,2.623286123,5.026343926,4.853003838,4.713828666,5.098068453,3.646811991,-2.015262359,2.283544997,0.416712763,-3.447381424,-6.587476957,-1.776061811,3.41892299,6.573591005,5.75083246,6.271667304,5.87559123,-3.220634336,11.38776336,7.365622524,2.611900909
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.010669619,2.917219546,1.513459483,3.300836831,4.736339704,6.375028858,6.623172985,5.488825961,2.612268052,-4.798324168,2.714665115,1.772380837,-0.770668176,-0.041812408,2.245212186,4.95875849,2.580870147,5.173565288,2.830305894,3.565776572,-5.304879546,4.029018306,2.847170657,-0.085330276
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.877245948,1.636541013,-0.228310249,-0.529928994,1.162368267,0.885697236,3.855736152,2.89010719,0.910403196,-5.545164538,4.146767545,3.757968866,0.474291306,0.386224576,2.169498929,1.652719772,2.294710677,2.716024519,1.116443109,0.987893349,-4.095137491,3.669999862,1.369731055,-0.26643841
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,7.061543242,7.526108919,7.123432337,5.458091517,4.774416888,5.5451306,1.316363242,4.522347746,3.72857647,6.676649644
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.340219321,-0.06384473,-2.827998893,6.353137122,3.050690295,0.655862269,4.659455486,6.352972439,7.121057986,-1.169590643,0.6726344,-0.223550688,-1.059000243,-0.999940631,4.753786581,-2.731503063,2.763647982,-6.618994633,3.547584418,5.502483437,-16.60410952,6.890549417,5.583546263,4.712238185
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.724008976,0.95003228,0.456529991,0.441090995,2.776351847,2.359608833,3.816487697,0.987173788,-0.41717843,-4.974479075,1.582897021,1.310803779,-0.005432319,1.39267347,1.277999794,2.104414587,3.073045475,3.056477244,1.860007489,1.711400944,-1.780105988,7.38206629,1.540173107,2.495184331
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.66176228,2.459516368,4.495103403,-1.345706185,2.570134279,9.428236947,9.174355406,7.415951715,3.209504262,0.946155168,8.33965106,3.133423003,2.717367897,4.875205093,7.05046369,6.927018772,6.659200263,4.666704677,6.982527585,5.05216802,-6.720239373,12.27199023,4.858324036,2.360615687
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.800000001,2.999999999,5.4,6.5,4.5,5.4,2.9,3.1,2.5,1.2,4.8,3,2.4,2.6,4.1,3.2,3.9,1.5,1.4,0.9,-5,3.8,3.6,4.1
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.647767503,6.978178346,8.058850093,8.947750051,9.120066719,9.978290694,11.07853549,12.48593015,8.616451815,7.989460322,9.917956785,8.642660009,7.580791724,7.299654416,6.985937984,6.707662159,6.56660652,6.709818835,6.527937635,5.784281465,1.243677937,7.602320292,3.386209854,5.107448859
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.372067491,1.137911675,1.925063785,5.170772521,6.18919942,5.88994219,6.074692596,5.70794323,3.448731,0.719539289,6.510737338,4.923261527,4.183190334,4.051906648,4.121561447,4.405667127,4.419305918,4.641299833,3.842495766,2.357443408,-4.176095459,7.408846294,5.520735698,4.313112021
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.397530564,3.297543577,4.377369617,4.950018431,5.866800262,5.89977764,6.45425822,7.462725071,4.384195557,2.564243989,7.607944061,5.46232933,5.18379286,5.245845322,4.759441944,4.728501051,4.659569583,5.052708559,4.759993731,3.961914807,-0.13403868,6.220399975,2.868762261,4.104145625
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.773462622,-0.110834148,6.402544173,6.599490293,9.538031908,8.46540847,8.172918734,7.124058912,3.052497161,-3.464772415,7.079864201,8.504703684,4.048804156,6.501388158,3.356647692,3.571058246,2.775969722,5.824971735,3.499958119,2.307119781,0.291994242,9.044848348,3.103651611,5.042546178
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.381418937,2.247346779,1.575134516,1.814913198,3.195576621,2.710709315,3.909322441,3.643116328,0.998905426,-4.432917905,2.626519937,2.380654123,0.311740903,0.86977692,1.942652549,2.098396074,1.880092048,2.87445949,2.121661818,1.855910001,-5.410367964,6.744232825,3.245424922,1.016144329
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.091801647,4.206271857,4.928095496,2.884500365,6.832397366,5.39862244,4.341131986,1.902428597,6.564920682,1.09101297,4.02913788,8.481476563,5.783212336,7.211236537,4.226065204,0.119692109,-0.687954246,5.97039881,1.044295547,0.165403533,-9.245096377,9.818417748,6.186139073,2.355217907
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.37000383,3.535251974,2.390204026,3.193454737,4.092071611,4.471744472,6.843838194,7.087827427,7.156283566,4.6735998,5.147234858,1.764571949,2.226199799,2.185466054,2.91591188,4.372019078,4.346643456,4.181221,5.331108619,5.552093072,3.550164838,3.290646012,6.587845609,3.758700552
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.90185691,2.185342055,0.946997514,0.753370499,2.312190259,1.771918664,3.321601605,3.011505361,0.41650155,-4.48285238,2.121340778,1.778222744,-0.917843012,-0.169752032,1.452001019,2.14103196,1.822468559,2.597494948,1.768485843,1.628394652,-6.048673354,6.361155565,3.546043469,0.401418498
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.141985903,8.755435528,3.005429192,-2.655515925,1.451735566,2.574449551,-0.969217111,1.426822211,-9.783030018,3.876501528,2.194190349,8.679800101,,,,,,,,,,,,
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.200641186,3.919088791,2.755456153,2.939289664,3.114531452,3.551225515,4.043435207,3.533500122,0.767165775,-3.768133072,0.094122317,-0.639920691,-2.865113673,-1.427322192,1.520485923,4.060866697,2.915156028,2.896042081,2.395411204,1.961178532,-10.94007066,6.683144185,6.179312226,2.675663493
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.08763499,5.880749703,6.933000131,7.59630144,6.80069516,9.523058033,9.762570368,7.570918113,-5.125312709,-14.63022031,2.449745916,7.606976635,3.672021159,1.756494612,3.322787536,1.838157048,3.093015834,5.634674322,3.69969444,3.726653182,-2.883810041,7.154447483,0.060427832,-3.023035841
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.07321748,8.301306321,1.514725706,-2.161359722,13.57260314,11.81876595,10.83472707,11.456167,10.78852169,8.802553198,12.55053835,11.17829623,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.564189643,6.816147797,8.364085699,6.059530886,5.641530717,5.321176284,6.498134642
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.934531784,2.161437803,1.097981146,0.938285219,2.600594726,1.98379523,3.5650683,3.141634775,0.623364646,-4.310867694,2.184575093,1.960766125,-0.761009906,-0.037626217,1.628453683,2.370901228,1.943938831,2.795465834,2.049971859,1.875721582,-5.576921085,6.357771334,3.497703287,0.427838269
Fragile and conflict affected situations,FCS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.447187766,4.109826533,4.790455846,1.069366207,11.26643257,5.83357542,5.819575404,5.987739023,5.04038511,3.061667721,7.017797072,0.036698808,5.569059483,3.540135901,2.348448227,0.820425464,2.166921687,2.563937442,2.715346787,2.293659501,-5.060523415,2.476908576,1.098739163,1.81242145
